module_genes	seed	module_score	node_score	edge_score	n_edges	z_perm
BBC3 HSPA1A MCL1	BBC3	10.462888893629104	8.690268340805147	1.7726205528239567	2	5.706350495626219
ENSA HSPA1L RAB3A SNCA	ENSA	10.800550878146472	9.978785797182596	0.8217650809638759	3	5.973584990340026
GRB2 JAK1 PIK3R2 SKAP2	SKAP2	12.534438544283628	9.279758702330131	3.254679841953497	3	6.865846009067276
CAMK2G JAK2 PPM1F STAT3	CAMK2G	13.656110470829601	10.120973208517555	3.535137262312047	3	7.948947789349054
BRD2 FOXR1 MYC SCO2 STAT3	FOXR1	14.43615161628848	11.88042838451947	2.5557232317690106	4	8.256796271793196
CHAF1A EP300 OS9 PAPOLG SETD2	PAPOLG	11.80951465674385	8.652894878294186	3.1566197784496652	4	6.363509259638852
NR2F6 RXRB THRB ZNHIT3	NR2F6	9.634445842463952	7.99410414692897	1.6403416955349823	3	4.961642178470811
BUD31 LSM2	LSM2	9.923436879705642	6.561679680974272	3.36175719873137	1	5.6285749805538785
ACADM DNAJA1 GFPT1 METTL21B	GFPT1	10.884676819843826	6.41947184215977	4.465204977684056	3	6.024715299916246
DIAPH1 KIF5B PSMC3 TNFRSF1A	KIF5B	9.625851529674922	6.35348426788892	3.2723672617860022	3	4.682305750533555
BZW2 CD68 EGFR VARS	CD68	9.722535418117554	6.748746956346917	2.9737884617706363	3	4.830493917745506
ENTPD2 SCO2 STX7	ENTPD2	6.340738692025912	5.351237452883091	0.9895012391428204	2	2.8409614232990363
ARHGAP31 CDC42 DOCK7	DOCK7	8.34547998600581	4.766662795748303	3.5788171902575066	2	4.185664371679233
CDK4 KLC1 ORC3	CDK4	11.539713373957756	7.860162325128274	3.679551048829482	2	6.306256473978472
IFIT5 PRDX2	IFIT5	3.646048210735043	1.947127040517663	1.69892117021738	1	1.260622769053966
TCTEX1D4 TGFBR3	TCTEX1D4	4.08760917119047	4.0427322011904705	0.04487697	1	1.5741917136552583
LOC149950 LTBR TNFRSF1A TRAF1	LOC149950	10.85122414384022	6.601942384663361	4.24928175917686	3	5.575694392614167
CNOT7 DAXX HIST1H3A PHF1 TCP11L1	TCP11L1	11.078882226578521	8.98813216948158	2.090750057096942	4	5.568225167442041
MPZL2 MPZL3	MPZL2	7.003121067426932	5.045992375051262	1.95712869237567	1	3.5816630008095487
ACAA2 ACSF3 CDC34 RANGAP1	ACSF3	9.122412648386877	4.693423438865153	4.428989209521724	3	4.8053767935994705
KRTAP10-9 TBC1D23 ZBTB9	TBC1D23	7.618040190315488	5.651829061301753	1.9662111290137354	2	4.0011702920189895
SPEF2 STK39 TSC22D2	STK39	7.378231134272674	4.079899733622871	3.2983314006498046	2	3.5616811766933827
HDAC1 IFNAR1 LCK MAPK1	IFNAR1	13.132423244590742	8.498755284467656	4.633667960123086	4	7.335900049532908
ARFIP1 HSD17B8 PPP1R1A ZNF414	PPP1R1A	9.399419487503152	7.520336748621389	1.8790827388817621	3	4.742739197117466
ART3 MGAT5 NAGLU NCOR2 POGLUT1	NAGLU	8.376337125133194	6.651097794114217	1.7252393310189782	4	3.945672333545327
CHEK2 DAPK1 MAPK1 MYL12B RPL41	RPL41	11.2023400511349	7.088244090376509	4.11409596075839	4	5.735067720431178
CCT6A DDB2 METTL21B	DDB2	12.379659611618091	9.44264497550547	2.9370146361126213	2	6.892665065439182
PCDHGB1 PCDHGB3 PCDHGC3	PCDHGB1	8.102833645699835	6.14362972124197	1.959203924457866	3	4.117949443239346
BICD1 C9orf24 DCTN6	C9orf24	6.298240049043157	3.410527280884682	2.8877127681584756	2	2.7943191543480395
BRD2 DAXX HIST1H3A PHF1	HIST1H3A	12.822705274502983	11.662615134601834	1.1600901399011485	3	7.1403227095863775
C3 HSPA1L OLFM4 RELA	OLFM4	11.91210199828944	8.95686459048572	2.955237407803721	3	6.233845851007576
EGFR FCRL3 GC PPP2R2A VARS	PPP2R2A	12.587997360050464	9.466892731758374	3.12110462829209	4	6.82185706805798
CFLAR LTBR TRAF3	CFLAR	9.308560744270816	7.144206871823318	2.164353872447498	2	4.77887111928051
CLIP1 HSPA1A ZNF598	CLIP1	9.047275851429402	7.60900103896285	1.4382748124665528	2	4.658899288914725
ATRIP MTNR1A PEX14 VARS	PEX14	10.526291239044014	8.018763751136671	2.507527487907342	3	5.175030540758506
GADD45A HIST1H3E HIST1H3F PFKFB3 PFKFB4	GADD45A	13.639676522388534	9.57445978853749	4.065216733851046	4	7.304278154240673
CHEK2 FOSL1 JUND MAPK1	JUND	12.3884685520608	9.100779707902975	3.2876888441578265	3	6.744482927269501
GRB2 HEXIM2 JAK1 PIK3R2 SPRY2	SPRY2	12.37621393407376	9.009114657596848	3.36709927647691	4	6.7956360975418875
CCT6A METTL21B NEURL3 UBC	NEURL3	10.677572893057159	7.489777506586334	3.187795386470825	4	5.606119162542128
NUPL1 TOP1MT	NUPL1	4.542701579746243	3.078460424748183	1.46424115499806	1	1.912622043186783
BAG6 CYP20A1 FBXO7 ORC3 PIEZO1 TSPAN5	CYP20A1	12.947868505923328	7.982287467225185	4.965581038698146	5	6.4967315784509925
HTR3A LLGL1 SQSTM1	LLGL1	6.559382755162904	4.5561796741746345	2.0032030809882695	2	3.0809567390327186
ADCK4 APLNR CD27	ADCK4	7.366069022290611	4.4706442659701215	2.895424756320489	2	3.505686318718989
AGAP2 GM2A PLCG1 PLD2	GM2A	11.128902027593973	7.32219774874196	3.806704278852014	3	6.119622315387407
GRB2 JAK1 PIK3R2 STARD10	STARD10	12.64309110683345	9.705516562449215	2.9375745443842347	3	6.717341469687697
CCDC85B F12 PEX10 SSSCA1 UBE2D2	PEX10	10.627009612272786	6.244506598984235	4.3825030132885505	4	5.396844037786902
CCRN4L CRTAC1 MAP2K2 MAPK1 MORN4	CRTAC1	9.769875513950069	5.970527695282374	3.7993478186676954	4	5.0192097628625705
AGAP2 COG6 PLCG1 RNF40	COG6	11.59351002061078	7.81646519899721	3.7770448216135706	3	6.406635173463423
CCDC85B CUTC NIF3L1 NUDT18	NIF3L1	8.775412467154268	5.50313823157888	3.272274235575387	3	4.172188385535171
HIST1H2BF HIST1H3E HIST1H3F PFKFB3	HIST1H2BF	14.1395934998826	10.264210556516154	3.8753829433664455	4	8.126460688248436
DENR OXNAD1	OXNAD1	5.394301114170345	2.8146841959061644	2.57961691826418	1	2.623864472070123
IL31 JAK1 PRKACA STK11	STK11	10.994949905106006	5.986943019243416	5.008006885862591	3	5.947939304949896
CCT6A CYP27A1 METTL21B UQCRC2	CYP27A1	10.003911276594453	7.5896381228237	2.4142731537707522	3	5.299267037494913
ATF4 FOSL1 JDP2 JUND	JDP2	9.028738902618052	6.999933476289965	2.028805426328086	4	4.545873666269388
CHERP PLOD1 TNIP2	TNIP2	9.19174032719883	5.989183790765705	3.202556536433124	2	4.907150357039506
KPNB1 LEF1 MIP NFATC2	MIP	11.241017122473592	7.236043505660748	4.004973616812842	3	6.264182355279002
C2orf47 HSCB NDUFA5 TSFM	NDUFA5	9.261731536461463	7.246496290277806	2.015235246183657	3	4.660605283210099
GABPB1 H3F3B HIST1H3G YY1 ZNF638	GABPB1	8.870687144535111	6.679209772653687	2.191477371881424	4	4.279996993320688
CDH1 EHBP1L1 GBAS HSPA1A PVR	EHBP1L1	12.640251608279698	9.653779130435362	2.9864724778443352	4	6.9281475188057
EPPK1 G3BP1 IL7R	EPPK1	9.48251895893859	6.816590401583512	2.6659285573550773	2	4.985487426918455
GATM PDE4DIP SART1 ZBTB38	GATM	8.487610309990941	6.118777206376264	2.368833103614676	3	4.171161321133125
C11orf68 CHCHD2 MIEN1 REL	MIEN1	9.794447420369883	8.251881225723034	1.5425661946468474	3	5.058367895343663
EIF3B RSU1 USP3	RSU1	6.474179528071478	4.938262818514044	1.5359167095574333	2	2.9636082679174858
NUMBL PIP4K2C RING1 SKP1 YWHAG	NUMBL	13.875043026975899	9.163305296017109	4.71173773095879	4	7.787912172011702
OSBPL1A ZNF331	ZNF331	3.730562696207606	1.844848004345036	1.88571469186257	1	1.3217568118005567
ARHGAP31 ARHGAP35 CDC42	ARHGAP35	8.572016348508429	4.746431495411834	3.8255848530965957	2	4.53776764397822
FNDC3A SMCR8 TMEM17	FNDC3A	7.217682255069777	4.875170754173903	2.342511500895874	2	3.4559230084967116
MTNR1A PEX14 VARS	MTNR1A	9.843419059606262	7.507984273438463	2.3354347861677986	2	5.072403445680327
DNM2 MYC STAT3	MYC	11.929469726429724	8.696249473883771	3.233220252545953	2	6.5005458754079495
EGFR FCRL3 VARS	EGFR	12.19057757357199	9.453900388733649	2.7366771848383387	2	6.786005617040164
BSG KLC1 RING1 SKP1	BSG	11.692097319814927	7.438943810616465	4.253153509198462	3	6.471533242809655
CTSA SGMS2	SGMS2	5.479044365439014	4.139910780455844	1.33913358498317	1	2.6665144787040713
ARHGDIA GRB2 PIK3R2 RHOH VAV1	RHOH	12.215156164398136	8.653321095757908	3.561835068640228	4	6.493036065963643
CISD2 NDUFA4 PLA2G3 PVR	NDUFA4	10.061700056248572	6.9642764018628345	3.097423654385738	3	4.9586543808255135
KLC1 RING1 SKP1	RING1	11.601272999363484	7.325181269375005	4.27609172998848	2	6.671965585476985
DDX6 EPPK1 G3BP1 PDK1	PDK1	10.778019921025717	7.01744227999722	3.760577641028496	3	5.7451809170722274
ATP1B1 CTSA LMNA RTN4	CTSA	8.175515287482607	4.18289161098395	3.992623676498658	3	4.032837924343084
RPS18 TRMT112	TRMT112	8.392724202763738	6.283668202763738	2.109056	1	4.345930228038109
CAND1 DDX55 KPNB1 RRP12	DDX55	9.274901792624533	7.220051070540915	2.0548507220836187	3	4.688681819323621
ATP6V1A ATP6V1E1 PPIF	PPIF	7.508855696566586	5.601670028076328	1.9071856684902577	2	3.5792849224191805
HIST1H3E HIST1H3F HIST1H4H PFKFB3 TAF4	TAF4	15.241683066238913	10.059430439405425	5.182252626833488	5	8.378418325663997
LETM1 RNF19B UBASH3B UBE2D3	LETM1	9.234162684694786	6.717519566011364	2.516643118683421	3	4.575989795289496
AHR CBX6 HIST1H1B NCOR2	AHR	10.37607132612906	6.19452416822168	4.18154715790738	3	5.325927390271816
GRB2 JAK1 NPHS1 NPHS2 PIK3R2	NPHS2	12.109631148594746	8.978800056020805	3.1308310925739398	4	6.770156024961687
CREBL2 DDIT3	CREBL2	3.1352250371365606	3.0506630284337652	0.0845620087027953	1	0.9741500046792622
BAG6 FBXO7 ORC3 XRCC5	XRCC5	12.474396872573184	7.77571375624209	4.698683116331095	3	6.411742244932143
ESRP2 HSPA1A RNF111 SAE1 UBE2E3 UBE2K	ESRP2	12.193435644017956	9.060714923310213	3.1327207207077423	5	5.874694589410202
FN1 HSPA1A HSPA1L MIA VARS	MIA	13.730543576921924	12.152065434045447	1.5784781428764765	4	7.5324030182681145
DGUOK NCALD RAB3A SLC12A5	NCALD	11.89910214382574	8.343252253171421	3.555849890654321	3	6.810831987999941
DAXX FOXI1 HIST1H3A PDS5A VARS	FOXI1	10.87153061343467	9.129193018307218	1.7423375951274516	4	5.530930236843397
CD82 HLA-DMA	CD82	7.411509536304759	6.775506476657902	0.636003059646858	1	3.8707198826504245
CXCR4 CXCR5 GPR183 IL7R SDC4	GPR183	12.754109096323518	9.505587962095387	3.24852113422813	4	6.7327336408901415
AGAP2 NF2 PIP4K2C SCHIP1	SCHIP1	11.288566327719861	9.76117920954613	1.5273871181737306	3	5.993716053573658
MRPL30 MRPS10 NGRN TRA2A	MRPL30	9.179022393120992	5.77494594821789	3.4040764449031027	3	4.624034853802833
C5 C5AR1 C8G F2 PROC	C5AR1	8.002726918204115	4.972957540953775	3.0297693772503402	4	3.7137655687811097
DEFB118 TMEM86B	DEFB118	4.593829635171994	2.5967862725563733	1.99704336261562	1	2.078317259248078
AGAP2 BAG6 DNPEP NF2 PDCL	NF2	13.469163074808355	9.299150525702427	4.17001254910593	4	7.351937417777276
SCAP SEC24C SEC24D STAT3	SEC24D	10.660949582238429	8.219324182238429	2.4416254	4	5.500430744843665
CDK4 CHIT1 RPS6KB1 SETD2 VHL	CHIT1	13.208030348132013	9.193035111842953	4.01499523628906	4	7.132245971801223
HSPA1L TNFRSF1B TRAIP	TNFRSF1B	8.63004948470532	6.583684461519689	2.0463650231856314	2	4.366564491269989
BAG6 FLCN SNPH STUB1 SYBU	SYBU	9.568087729101036	6.688480362345479	2.879607366755555	4	4.824539852401439
FOXL1 KLC1 ORC3 RING1 SIX5 SKP1 SYMPK	SIX5	14.477528689752038	8.727544925527448	5.74998376422459	6	7.602893182153963
RPL7 ZNF771	ZNF771	3.754533069881684	1.777008069881684	1.977525	1	1.3585441206360092
ARFGAP1 ARFGAP2 RAB23 RASIP1	ARFGAP2	9.193064410313887	5.900227075110921	3.2928373352029645	3	4.73001276215574
FBLN2 ITGB3	ITGB3	6.205397133402018	4.0179536674795875	2.18744346592243	1	3.0786808459598225
AGAP2 CTLA4 MAPK1 STAT5A TXK	TXK	13.958433491444358	11.879190296990764	2.0792431944535963	4	7.763870328257696
HSPA1A PPP1R15A	PPP1R15A	8.48206380850859	6.9407464263879906	1.5413173821206	1	4.675999034661833
ANKRD55 GABARAP KEAP1 MIB1	ANKRD55	7.881290497220286	6.034586380807595	1.846704116412691	3	3.738146574863734
HSPA1L RNF7 SAG UBASH3B UBE2D3	SAG	11.301879255377301	8.558000720088799	2.7438785352885025	4	5.640940044261106
ATN1 BAG6 DKK3 KIF21B MAP7D1	DKK3	11.893515676152559	8.618029219538453	3.275486456614105	4	6.2487057457171495
AGAP2 FASLG GRAP PLCG1 TNFRSF6B	TNFRSF6B	12.602351693886451	8.667659070825787	3.934692623060665	4	6.748955304637955
HSPA1L PLA2G15 RNF7 SAG UBASH3B UBE2D3	PLA2G15	11.619119624391383	8.714786169059318	2.9043334553320643	5	5.896387123194146
A2M CDK11A	CDK11A	4.453771361898626	3.6936759424017724	0.760095419496854	1	1.9886742315558736
EGFL7 HOXA1	HOXA1	4.131378793932493	4.102143666127478	0.0292351278050146	1	1.6557284915424648
CCDC85B FBF1 VCL	FBF1	7.254028646024011	5.120827664034632	2.13320098198938	2	3.4381311946000244
CXCL11 CXCL9 TNFSF14	CXCL11	7.6524721445837525	4.710334040662918	2.942138103920834	2	3.6461578750282944
CLTC CST9 FCRL3 ITGA4 REL TNFRSF1A	CST9	13.138567390219144	9.803926502388176	3.334640887830969	5	6.592744882017067
BET1L FOXQ1 NSF VARS	BET1L	8.762408838130217	7.63835277472322	1.124056063406997	3	4.272928911503955
CCDC51 TPM2	TPM2	6.014495328054785	3.8125827965832246	2.20191253147156	1	2.8475485574462494
AHCYL1 CDC37 ERBB2IP ZNF414	ERBB2IP	9.162156068305437	5.956939976248124	3.2052160920573134	3	4.475461310711242
FCRL3 SCNN1A SNX32 TSG101	SNX32	12.815000811841426	8.969349976544294	3.8456508352971293	3	7.200359802272482
CLTC CRTC3 HIST1H1D VCAM1	CRTC3	10.845199230101729	8.154291903757194	2.6909073263445342	3	5.83959275762733
BCL10 DENND5A ELAVL1 SLC30A7	DENND5A	11.272717226343941	8.467948127671795	2.8047690986721463	3	5.959804256987343
DNPEP MVP NF2	MVP	7.161988469593096	4.3037286361158325	2.858259833477263	2	3.576291316577693
CHEK2 HRAS MAPK1 RAB23	RAB23	11.406386771381742	7.741914263422	3.6644725079597413	3	5.98943882726133
MYC NSUN4 RPL13 STAT3	NSUN4	11.02294756403497	7.745639361900704	3.2773082021342663	3	5.956563174436844
BAG6 KIF21B PDE12	PDE12	10.959941560494357	9.308592955405565	1.6513486050887918	2	5.89505826501954
ANAPC4 ITPR3 NANOG USP34	USP34	10.414862877107709	5.6839535613915295	4.730909315716178	3	5.1766874645247505
ATXN2 NUMBL RBFOX1	RBFOX1	6.753842845517298	4.074585106874969	2.679257738642328	2	3.175056473884073
ARHGAP32 BCAR1 FAM102A LCK	FAM102A	7.847450557344961	3.7153623982702197	4.1320881590747405	3	3.965422896356969
MCPH1 TSEN54	TSEN54	3.4419570242168507	3.2916047621820135	0.150352262034837	1	1.1089241872867348
CSK PTPRZ1	PTPRZ1	4.871846744505027	3.5129742187182873	1.35887252578674	1	2.182726596574286
BAG6 DRG1 TRIM14	DRG1	12.523146781066789	8.79722233017492	3.7259244508918696	2	6.906124893914603
ABCC2 BAG6 MCPH1 NDUFA9 TRIM14	ABCC2	11.399928926811745	9.116250740444501	2.283678186367242	4	5.968037749154769
LTBR POLRMT SPC25	POLRMT	7.595130706654071	5.346400323583033	2.2487303830710377	2	3.812027287698013
ANK3 EGR2 KPNB1 NAB2 NFATC1 SOX8	ANK3	10.76623235957773	7.894104636568876	2.872127723008854	5	5.416152391095531
CMPK1 DDX42 NXF1 RPS6KA4	CMPK1	7.4402016673993625	4.368378318143985	3.0718233492553777	3	3.2004347304930425
IL23R JAK2 STAT3 STAT4	IL23R	11.503559577637402	8.76832924419914	2.7352303334382615	6	6.508529253456293
CASP8 MAPK1 PDIA6 TMEM219	PDIA6	12.182078997906707	8.26127327832892	3.9208057195777877	3	6.632400491956443
ALS2CL CHMP4A MAPK1 RAB5C VCAM1	ALS2CL	11.340315667510588	7.780132447062319	3.5601832204482697	4	5.9018861643108425
EAF2 FOXK2 KANSL3 TEAD2	KANSL3	8.953027391320335	7.3899684624588	1.5630589288615344	3	4.5796547177342
GOLGB1 KISS1 MMP14 TIMP4	TIMP4	6.938492192713044	5.2269226929510095	1.7115694997620332	3	3.0303109215707673
CAMK2G DIAPH1 JAK2 PPM1F STAT5A	DIAPH1	13.603608785179746	10.08263419823675	3.520974586942998	4	7.43664970389636
RPL24 RPL5 RPS18	RPL24	9.74045154213452	8.268734899146475	1.471716642988045	3	5.058522891450636
KSR1 LPIN3 MARK3	KSR1	8.20330937418012	5.603630440466867	2.5996789337132538	2	4.114177451025707
CPS1 HSPA1A	CPS1	9.080854585749325	7.147520172920244	1.93333441282908	1	4.876708256456637
CIITA GFPT1 MTCH2 XPO1	MTCH2	10.296291953998498	7.1739283188357845	3.1223636351627135	3	5.372945580186717
IL12RB1 JAK2 STAT3 TUB	TUB	12.413147415100184	9.10606574412479	3.307081670975395	4	7.037891157006337
DHX15 NDFIP1 RBM15 UNK	RBM15	10.855021476362124	7.249208472396205	3.605813003965919	3	5.98071630638778
NPEPPS PRKAB1	PRKAB1	7.833771113900371	6.050719744331581	1.78305136956879	1	4.22049935237354
CXCL10 CXCL9 TNFSF14	CXCL10	8.602002280534455	4.720070277866035	3.88193200266842	2	4.401880483134461
EBF1 ETS1 PARP1 ZNF423	EBF1	8.254372418896317	5.851785712195715	2.4025867067006006	3	3.856381338555034
C9orf64 ELAVL1 SLC30A7	C9orf64	10.146512175059843	7.096189566104719	3.0503226089551245	2	5.827909844309812
CIITA ERAP2 GFPT1 MTCH2 XPO1	ERAP2	10.90694190088781	7.357777936764369	3.5491639641234416	4	5.510083265593529
